Ticker,Company,StartDate,EndDate,Simple Moving Average,Relative Strength Index,Moving Average Convergence Divergence,Moving Average Convergence Divergence Signal,Bollinger Upper Band,Bollinger Lower Band,On-Balance Volume,Average True Range,Average Directional Index,Output
JNJ,Johnson & Johnson,2020-06-08,2020-07-08,126.8634205046154,43.59520141191849,-0.6415471776996331,-0.5104706646952731,131.17820298936928,122.54863801986156,2132302.5,2.6347811463232147,30.588574522775804,4.112945556640625
PFE,Pfizer Inc.,2020-06-08,2020-07-08,27.14814821424938,34.180614424002705,-0.4512503598157481,-0.3798602833273031,29.387119464582675,24.909176963916096,-114803796.55,0.6935756607201371,19.63688271299276,3.54702377319336
MRK,"Merck & Co., Inc.",2020-06-08,2020-07-08,64.62541460309711,51.38733275685982,0.0570693852360372,0.0760248040596362,68.48951085410187,60.76131835209234,-293580.025,1.606480406765898,26.946817162831827,1.9221267700195312
RHHBY,Roche Group,2020-06-08,2020-07-08,37.03869000389462,48.45443704798433,-0.0868440392242515,-0.0843099699660853,38.29044974074643,35.786930267042806,-7124152.5,0.6941770170112269,55.60263326890584,-0.1521682739257812
ABBV,AbbVie Inc.,2020-06-08,2020-07-08,76.37386045910064,61.71809323878359,0.9236618401373096,0.7882265931569442,79.79994089470087,72.94778002350039,52560495.0,2.3367796487227634,13.480712924120985,-4.603729248046875
NVS,Novartis AG,2020-06-08,2020-07-08,73.87332907177154,56.73692044585532,0.1095150687921233,0.0624723848023738,76.79609777612724,70.95056036741582,1956977.5,1.429605749893049,29.720474081531563,-3.73944091796875
BAYRY,Bayer,2020-06-08,2020-07-08,16.296112158184958,62.84839106679791,0.4074965866052388,0.3635856510035974,18.04039399126848,14.551830325101438,-186580.0,0.4857604027692034,16.08808263280809,-1.0620155334472656
LLY,Eli Lilly and Company,2020-06-08,2020-07-08,144.86379521687826,52.23194375393755,-0.2042685827581408,-0.4287776777323774,155.98521394374,133.7423764900165,-15405832.5,4.589893866688437,35.89474445145017,-13.106109619140623
AZN,AstraZeneca PLC,2020-06-08,2020-07-08,47.6431064696539,48.7377067626825,-0.0897654171507731,-0.0775224946805639,49.396280333835456,45.889932605472346,21913645.0,1.258908559670267,12.74915857260268,2.4422340393066406
NVO,Novo Nordisk A/S,2020-06-08,2020-07-08,30.05717337472098,56.213465297280926,0.1247633943666897,0.1050531856609912,31.036588971999866,29.077757777442105,6709405.0,0.6449332339289322,33.502167762561065,-0.6310710906982422
